품목,세부,마트,"무게 (g, ml)",수량 (EA),단가 (원),가격 (원),"단가 (100 g, ml당 가격)",날짜
파프리카,스마트팜파프리카 2입,롯데슈퍼,,2,"1,495","2,990",#DIV/0!,20250420
양상추,양상추 (봉),롯데슈퍼,,1,"1,990","1,990",#DIV/0!,20250420
빙수,해태찐절미빙수240ML,롯데슈퍼,240,1,"1,500","1,500",625,20250420
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250426
군만두,한성 군만두 1kg,킴스클럽,1000,1,"6,990","6,990",699,20250426
물만두,오프라이스 물만두 450g,킴스클럽,450,1,"2,990","2,990",664.4444444,20250426
신라면,농심 신라면 5입,킴스클럽,,10,747,"7,470",#DIV/0!,20250426
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"4,990","4,990",998,20250426
가지,가지,킴스클럽,,2,700,"1,400",#DIV/0!,20250426
아이스크림,빙그레 아이스크림 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250506
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"3,990","3,990",798,20250506
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"4,990","4,990",998,20250506
김치,종가 포기김치 3kg,킴스클럽,3000,1,"20,990","20,990",699.6666667,20250506
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20250509
우유,서울우유 후레쉬밀크 900ml,킴스클럽,900,2,"1,895","3,790",210.5555556,20250511
송이버섯,오아시스 무 새송이버섯 400G,킴스클럽,400,1,"1,120","1,120",280,20250511
상추혼합,친환경 상추+깻잎,킴스클럽,,1,"2,990","2,990",#DIV/0!,20250511
계랸,무항생제 신선대란 30입,킴스클럽,,1,"7,990","7,990",#DIV/0!,20250511
